CSAFP,CBSAFP,GEOID,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,ORIG_FID,MBG_Width,MBG_Length,MBG_APodX1,MBG_APodY1,MBG_APodX2,MBG_APodY2,MBG_Orientation,Shape_Length,Shape_Area
162,12740,12740,"Barre, VT","Barre, VT Micro Area",M2,2,G3110,1779432159.000000000000000,21173948.000000000000000,+44.2749884,-072.6095138,19,0.447941497735482,0.779136859399097,-72.916778000204488,44.071886000438610,-72.220266999722242,44.421065999696168,63.374140866196775,1.909825828259348,0.236928377355614
538,12780,12780,"Bartlesville, OK","Bartlesville, OK Micro Area",M2,2,G3110,1076201559.000000000000000,22871164.000000000000000,+36.7043803,-095.9061545,20,0.214218792100679,0.614259072494517,-96.001170999641886,36.423685999809095,-95.786762000166163,36.999309999556885,20.429406038280476,1.554448636879661,0.116754853689117
464,12860,12860,"Batavia, NY","Batavia, NY Micro Area",M2,2,G3110,1276705469.000000000000000,6137411.000000000000000,+43.0009096,-078.1927784,21,0.270552569114307,0.618605093527216,-78.464380999983121,42.867461000225035,-77.905934000054003,43.133561000240036,64.522199965941326,1.612158478629874,0.147015230154485
 ,12900,12900,"Batesville, AR","Batesville, AR Micro Area",M2,2,G3110,3544216484.000000000000000,24794979.000000000000000,+35.9277272,-091.5154036,22,0.599895116062047,1.037754863672548,-91.793958000061593,35.534113999561498,-91.407137999818815,36.497081000288006,21.885131250958395,2.653680540563847,0.466767056387372
 ,12940,12940,"Baton Rouge, LA","Baton Rouge, LA Metro Area",M1,1,G3110,11306909736.000000000000000,523320311.000000000000000,+30.5187808,-091.1255901,23,1.260877246282240,1.556130043805483,-91.723803999754750,31.044254000421859,-91.082602000282066,29.626368000382968,155.666378160351456,4.468102351183180,1.300854893613173
310,12980,12980,"Battle Creek, MI","Battle Creek, MI Metro Area",M1,1,G3110,1829206358.000000000000000,31260656.000000000000000,+42.2429896,-085.0123853,24,0.351355818620356,0.685564382053742,-85.299528000117050,42.419552999571351,-84.709555999709607,42.070365999990941,120.620036469676080,1.864540869564775,0.204341392731035
474,13020,13020,"Bay City, MI","Bay City, MI Metro Area",M1,1,G3110,1145399057.000000000000000,488149217.000000000000000,+43.6997112,-083.9787007,25,0.438783618075479,0.697767350514101,-84.166376999698741,43.996901000380888,-83.698816000158217,43.478957000365313,137.926643941003704,1.760309797312395,0.199371224813147
288,13060,13060,"Bay City, TX","Bay City, TX Micro Area",M2,2,G3110,2830603629.000000000000000,1345784373.000000000000000,+28.7747601,-096.0015316,26,0.588796731401612,1.083537526215169,-96.395198000387381,28.279736000116372,-95.874027999992165,29.229702000247187,28.750037369217345,2.833799790139381,0.451253738652204
339,13100,13100,"Beatrice, NE","Beatrice, NE Micro Area",M2,2,G3110,2205275202.000000000000000,22010739.000000000000000,+40.2552337,-096.6834528,27,0.453356920891378,0.690629812059155,-96.916406999883122,40.001510999732886,-96.463631999617064,40.523013000149888,40.964951558225849,1.945846925266681,0.236391095508768
 ,13140,13140,"Beaumont-Port Arthur, TX","Beaumont-Port Arthur, TX Metro Area",M1,1,G3110,5440906517.000000000000000,748475098.000000000000000,+30.0759278,-094.2027049,28,0.876909793320838,1.281307160983630,-94.732731999881878,30.490065999946012,-93.814351000298416,29.596575999782601,134.212935408659746,3.392525551490758,0.755166619358828
376,13180,13180,"Beaver Dam, WI","Beaver Dam, WI Micro Area",M2,2,G3110,2268044939.000000000000000,81336171.000000000000000,+43.4296276,-088.7019394,29,0.437213564407118,0.746451281300861,-89.008919999558316,43.197721000224021,-88.401040999842223,43.630933000357743,54.523988258417866,2.069112568632701,0.263834651279372
 ,13220,13220,"Beckley, WV","Beckley, WV Metro Area",M1,1,G3110,3281438992.000000000000000,27775053.000000000000000,+37.9053245,-081.1644363,30,0.671357388359796,0.825155745319403,-81.571533999894143,37.927706999678321,-80.748756999735690,37.865097000126525,94.351590418090552,2.360285167386868,0.413015778918897
144,13260,13260,"Bedford, IN","Bedford, IN Micro Area",M2,2,G3110,1163367162.000000000000000,7122899.000000000000000,+38.8398148,-086.4878198,31,0.305838208007601,0.504854350122072,-86.683101999757469,38.686560999990206,-86.280388999552656,38.991028000341998,52.909273489650339,1.392192705060330,0.122458367587460
 ,13300,13300,"Beeville, TX","Beeville, TX Micro Area",M2,2,G3110,2279809490.000000000000000,246409.000000000000000,+28.4160769,-097.7425858,32,0.428312904949657,0.765047685530734,-98.089764000008586,28.662978999980908,-97.375579000170660,28.388683999766840,111.010142540633012,1.955049978295086,0.227730811596448
198,13340,13340,"Bellefontaine, OH","Bellefontaine, OH Micro Area",M2,2,G3110,1187534495.000000000000000,21593254.000000000000000,+40.3875532,-083.7663430,33,0.284915687188200,0.548483433191255,-84.014763000212270,40.273458999633192,-83.519726999901081,40.509622999601788,64.495857070225298,1.485862334450079,0.132316273573976
 ,13380,13380,"Bellingham, WA","Bellingham, WA Metro Area",M1,1,G3110,5459374970.000000000000000,1028230391.000000000000000,+48.8426531,-121.8364325,34,0.376633113402643,2.680808135005610,-123.322240000275769,49.002072000422515,-120.655857000100468,48.724342000083311,95.946475553210320,5.614597711895442,0.840229967400350
 ,13420,13420,"Bemidji, MN","Bemidji, MN Micro Area",M2,2,G3110,6487154450.000000000000000,1426287781.000000000000000,+47.8795077,-095.0050500,35,1.094796343915204,1.636057059475922,-95.602315000137082,48.538887000334853,-94.416387000359748,47.411830000354314,133.542000175481689,4.168973663050941,1.135249944975533
140,13460,13460,"Bend, OR","Bend, OR Metro Area",M1,1,G3110,7815590704.000000000000000,94710204.000000000000000,+43.9151181,-121.2255751,36,0.779467166603689,2.106552042098360,-122.002361999906327,43.615497999932813,-119.897433999879183,43.698199999730264,87.750023007893020,5.117558360595599,1.167433388298602
 ,13500,13500,"Bennettsville, SC","Bennettsville, SC Micro Area",M2,2,G3110,1242867241.000000000000000,14489019.000000000000000,+34.6016700,-079.6794351,37,0.363368866759014,0.588365255672897,-79.931448999971337,34.805288999987397,-79.633413000309702,34.297994000023152,149.565748530093401,1.527719977814759,0.140635379122152
 ,13540,13540,"Bennington, VT","Bennington, VT Micro Area",M2,2,G3110,1748232505.000000000000000,6928230.000000000000000,+43.0353254,-073.1114603,38,0.437985457265696,0.717238946683120,-73.276420999929144,42.746018999976911,-72.819899999585289,43.299210000341304,39.531161055059243,1.924728633212513,0.228364680012670
 ,13620,13620,"Berlin, NH","Berlin, NH Micro Area",M2,2,G3110,4647923684.000000000000000,92553609.000000000000000,+44.6525477,-071.2894309,39,0.747850940376966,1.245532454729423,-71.335882000353990,44.085751999555214,-71.084719000281609,45.305697999662982,11.633527987000235,3.214162363330900,0.635777915794141
266,13660,13660,"Big Rapids, MI","Big Rapids, MI Micro Area",M2,2,G3110,1437772998.000000000000000,41736347.000000000000000,+43.6352949,-085.3327509,40,0.347670683473700,0.591567146416804,-85.562433000282681,43.815482999740709,-85.084996000365095,43.466189999768744,126.189209490131816,1.645848712123279,0.165484916730971
 ,13700,13700,"Big Spring, TX","Big Spring, TX Micro Area",M2,2,G3110,2333039143.000000000000000,8841783.000000000000000,+32.3034298,-101.4387208,41,0.437970585092269,0.679308390858063,-101.695011000057548,32.087532000401552,-101.174571000051571,32.524112000268644,50.007818775330833,1.899933192780580,0.224518265569244
 ,13720,13720,"Big Stone Gap, VA","Big Stone Gap, VA Micro Area",M2,2,G3110,1064269237.000000000000000,5347063.000000000000000,+36.9745607,-082.6215601,42,0.354854839878022,0.580115778832593,-82.878553999967096,36.893739000054836,-82.298558000051628,36.905526999571407,88.835664992949532,1.505826930227763,0.142217021147395
 ,13740,13740,"Billings, MT","Billings, MT Metro Area",M1,1,G3110,16777746129.000000000000000,99074398.000000000000000,+45.6371402,-108.8323611,43,1.358777049149066,2.786204742287435,-110.064517999805787,45.172128999553763,-107.466131000245412,46.177773999770352,68.842234796424307,6.615715374116009,2.604646903166358
 ,13780,13780,"Binghamton, NY","Binghamton, NY Metro Area",M1,1,G3110,3171256082.000000000000000,36169003.000000000000000,+42.1639276,-076.0229431,44,0.417818747144754,1.213694602514416,-76.563588999632600,42.152462999767693,-75.359578999671044,41.999445000286585,97.242909022143650,2.888675236961856,0.409947112978511
142,13820,13820,"Birmingham-Hoover, AL","Birmingham-Hoover, AL Metro Area",M1,1,G3110,11625222232.000000000000000,196982372.000000000000000,+33.4025986,-086.7295151,45,1.144837606125172,1.695776423026979,-87.017660000108890,32.663268999964430,-86.444132999937949,34.259115000357042,19.767799637833917,4.657620238411734,1.479998945109664
 ,13900,13900,"Bismarck, ND","Bismarck, ND Metro Area",M1,1,G3110,11087702747.000000000000000,165098564.000000000000000,+46.8870310,-100.9795920,46,1.016164406659855,2.074673849550253,-102.096240000175840,46.717771999678121,-100.113070999726801,47.327125999965006,72.919755953180555,5.201566233138631,1.610805497499728
