cbsa_code,cbsa,top5_80,top5_90,top5_00,top5_10,top5_20
13380,"Bellingham, WA",Alabama Hill | Fairhaven | Puget | Lettered Streets | Downtown Business District,Alabama Hill | Fairhaven | Puget | Lettered Streets | Downtown Business District,Alabama Hill | Fairhaven | Puget | Lettered Streets | Downtown Business District,Columbia | Lettered Streets | Puget | Alabama Hill | Downtown Business District,Downtown Business District | Alabama Hill | Fairhaven | Puget | Lettered Streets
13420,"Bemidji, MN",,,,,
13460,"Bend, OR",Southern Crossing | Orchard District | Mountain View | Century West | Southwest Bend,Southern Crossing | Orchard District | Mountain View | Century West | Southwest Bend,Century West | Southern Crossing | Orchard District | Mountain View | Southwest Bend,Southern Crossing | Century West | Orchard District | Mountain View | Southwest Bend,Mountain View | Century West | Orchard District | Southern Crossing | Southwest Bend
13500,"Bennettsville, SC",,,,,
13540,"Bennington, VT",,,,,
13620,"Berlin, NH",,,,,
13660,"Big Rapids, MI",,,,,
13700,"Big Spring, TX",,,,,
13720,"Big Stone Gap, VA",,,,,
13740,"Billings, MT",Southwest Corridor | Heights | West End | North Park | Central-Terry,Southwest Corridor | Heights | West End | North Park | Central-Terry,Southwest Corridor | Heights | West End | North Park | Central-Terry,Central-Terry | West End | Heights | Southwest Corridor | North Park,Southwest Corridor | Heights | West End | North Park | Central-Terry
13780,"Binghamton, NY",,,,,
13820,"Birmingham-Hoover, AL",South Titusville | North East Lake | South East Lake | Spring Lake | Jones Valley,North Pratt | Five Points South | South Titusville | Spring Lake | Jones Valley,South Titusville | North East Lake | South East Lake | Spring Lake | Jones Valley,South Titusville | North East Lake | South East Lake | Spring Lake | Jones Valley,Ensley | Norwood | Arlington-West End | Rising-West Princeton | Jones Valley
13900,"Bismarck, ND",,,,,
13940,"Blackfoot, ID",,,,,
13980,"Blacksburg-Christiansburg, VA",Northside Park | Tom's Creek | Ellett/Jennelle | Hethwood | Indian Run,Northside Park | Tom's Creek | Ellett/Jennelle | Hethwood | Indian Run,Northside Park | Tom's Creek | Ellett/Jennelle | Hethwood | Indian Run,Northside Park | Tom's Creek | Ellett/Jennelle | Hethwood | Indian Run,Northside Park | Tom's Creek | Ellett/Jennelle | Hethwood | Indian Run
14010,"Bloomington, IL",,,,,
14020,"Bloomington, IN",Garden Hill | Sycamore Knolls | Park Ridge East | Bryan Park | Elm Heights,Garden Hill | Sycamore Knolls | Park Ridge East | Bryan Park | Elm Heights,Garden Hill | Sycamore Knolls | Park Ridge East | Bryan Park | Elm Heights,Garden Hill | Sycamore Knolls | Park Ridge East | Bryan Park | Elm Heights,Cresent Bend | Bryan Park | Park Ridge East | Garden Hill | Elm Heights
14100,"Bloomsburg-Berwick, PA",,,,,
14140,"Bluefield, WV-VA",,,,,
14160,"Bluffton, IN",,,,,
14180,"Blytheville, AR",,,,,
14220,"Bogalusa, LA",,,,,
14260,"Boise City, ID",Southeast Boise | West Valley | Hillcrest | Winstead Park | Vista,Downtown | North End | West Valley | Southeast Boise | Vista,West Valley | Hillcrest | Winstead Park | Southeast Boise | Vista,Depot Bench | Southeast Boise | Winstead Park | West Valley | Vista,Vista | West Valley | Hillcrest | Winstead Park | Southeast Boise
14300,"Bonham, TX",,,,,
14380,"Boone, NC",,,,,
14420,"Borger, TX",,,,,
14460,"Boston-Cambridge-Newton, MA-NH",South End | North End | Riverside | Charlestown | Back Bay,Jamaica Plain | Charlestown | East Cambridge | South Dorchester | South Boston,South Boston | Roxbury | East Cambridge | North End | Jamaica Plain,Roxbury | Hyde Park | Kenmore | Jamaica Plain | Fenway,Roxbury | North Dorchester | East Boston | Mattapan | South Dorchester
14500,"Boulder, CO",Whittier | Frasier Meadows | Centennial | Moores | Newlands,Frasier Meadows | Centennial | Moores | Newlands | Whittier,Frasier Meadows | Centennial | Moores | Newlands | Whittier,Frasier Meadows | Centennial | Moores | Newlands | Whittier,Whittier | Frasier Meadows | Centennial | Moores | Newlands
14540,"Bowling Green, KY",,,,,
14580,"Bozeman, MT",Northeast | South Central,Northeast | South Central,Northeast | South Central,Northeast | South Central,Northeast | South Central
14620,"Bradford, PA",,,,,
14660,"Brainerd, MN",,,,,
14700,"Branson, MO",,,,,
14720,"Breckenridge, CO",,,,,
14740,"Bremerton-Silverdale-Port Orchard, WA",,,,,
14780,"Brenham, TX",,,,,
14820,"Brevard, NC",,,,,
14860,"Bridgeport-Stamford-Norwalk, CT",Downtown | Ridgeway | Glenbrook | Spring Hill | Westover,Downtown | Ridgeway | Glenbrook | Spring Hill | Westover,Downtown | Ridgeway | Glenbrook | Spring Hill | Westover,Downtown | Spring Hill | Ridgeway | Glenbrook | Westover,West Side/ West End | Downtown | Glenbrook | Spring Hill | Westover
15020,"Brookhaven, MS",,,,,
15060,"Brookings, OR",,,,,
15100,"Brookings, SD",,,,,
15140,"Brownsville, TN",,,,,
15180,"Brownsville-Harlingen, TX",,,,,
15220,"Brownwood, TX",,,,,
15260,"Brunswick, GA",,,,,
15340,"Bucyrus-Galion, OH",,,,,
15380,"Buffalo-Cheektowaga, NY",Abbott McKinley | Bryant | Waterfront | Starin Central | Albright,North Park | Grant Ferry | Bryant | Forest | Front Park,Triangle | Starin Central | Waterfront | Abbott McKinley | Albright,Grant Ferry | Willert Park | Front Park | Columbus | Albright,Grider | Front Park | Forest | South Ellicott | Grant Ferry
15420,"Burley, ID",,,,,
15460,"Burlington, IA-IL",,,,,
15500,"Burlington, NC",,,,,
15540,"Burlington-South Burlington, VT",,,,,
15580,"Butte-Silver Bow, MT",,,,,
15620,"Cadillac, MI",,,,,
15660,"Calhoun, GA",,,,,
15680,"California-Lexington Park, MD",,,,,
15700,"Cambridge, MD",,,,,
15740,"Cambridge, OH",,,,,
15780,"Camden, AR",,,,,
15820,"Campbellsville, KY",,,,,
15860,"Ca–on City, CO",,,,,
15940,"Canton-Massillon, OH",Summit | Vassar Park | Crystal Park | Harter Heights | Edgefield,Summit | Vassar Park | Crystal Park | Harter Heights | Edgefield,Summit | Vassar Park | Crystal Park | Harter Heights | Edgefield,Ridgewood | Harter Heights | Crystal Park | Summit | Edgefield,Gibbs | Harter Heights | Crystal Park | Summit | Edgefield
15980,"Cape Coral-Fort Myers, FL",The Brooks,The Brooks,The Brooks,The Brooks,The Brooks
16020,"Cape Girardeau, MO-IL",,,,,
16060,"Carbondale-Marion, IL",,,,,
16100,"Carlsbad-Artesia, NM",,,,,
16140,"Carroll, IA",,,,,
16180,"Carson City, NV",,,,,
16220,"Casper, WY",,,,,
16260,"Cedar City, UT",,,,,
16300,"Cedar Rapids, IA",Oakhill Jackson | Noelridge Park | Cedar Valley | Mound View | Cedar Hills,Oakhill Jackson | Noelridge Park | Cedar Valley | Mound View | Cedar Hills,Oakhill Jackson | Noelridge Park | Cedar Valley | Mound View | Cedar Hills,Oakhill Jackson | Noelridge Park | Cedar Valley | Mound View | Cedar Hills,Taylor | Oakhill Jackson | Cedar Valley | Mound View | Cedar Hills
16340,"Cedartown, GA",,,,,
16380,"Celina, OH",,,,,
16420,"Central City, KY",,,,,
16460,"Centralia, IL",,,,,
16500,"Centralia, WA",,,,,
16540,"Chambersburg-Waynesboro, PA",,,,,
16580,"Champaign-Urbana, IL",,,,,
16620,"Charleston, WV",East End | Kanawha City | Edgewood | Downtown | South Hills,East End | Kanawha City | Edgewood | Downtown | South Hills,East End | Kanawha City | Edgewood | Downtown | South Hills,East End | Kanawha City | Edgewood | Downtown | South Hills,West Side | East End | Edgewood | Downtown | South Hills
16660,"Charleston-Mattoon, IL",,,,,
