cbsa_code,cbsa,ccity,x_ccity,y_ccity,ttract,tcc,tel70,tel80,tel90,tel00,tel12,tgent80,tgent90,tgent00,tgent12,tgent22,mamhi70,mamhi80,mamhi90,mamhi00,mamhi12,mamhi22,mamhv70,mamhv80,mamhv90,mamhv00,mamhv12,mamhv22,apctcol70,apctcol80,apctcol90,apctcol00,apctcol12,apctcol20,pop70,pop80,pop90,pop00,pop10,pop20,popchg80,popchg90,popchg00,popchg10,popchg20,nhwht70,nhwht80,nhwht90,nhwht00,nhwht10,nhwht20,cw80,cw90,cw00,cw10,cw20,nhblk70,nhblk80,nhblk90,nhblk00,nhblk10,nhblk20,cb80,cb90,cb00,cb10,cb20,asian70,asian80,asian90,asian00,asian10,asian20,ca80,ca90,ca00,ca10,ca20,hisp70,hisp80,hisp90,hisp00,hisp10,hisp20,ch80,ch90,ch00,ch10,ch20
22180,"Fayetteville, NC","Fayetteville, NC",-78.8784,35.0527,104,48,6,9,10,9,14,1,0,0,0,3,56142.35802,52906.736355,60005.17857,64548.16,56624.4,54881.0,142695.00775,126170.59890000001,153679.0059,144823.8672,137844.0,152442.0,0.11522575433333333,0.16474535116666666,0.18755191392682927,0.20456647065853659,0.23019099626829267,0.24141219512195122,212085,247221,365329,427753,481061,520214,35132,35293,62423,53308,38718,154304,154683,225236,236092,243598,230679,381,16549,10857,7506,-13136,50622,74810,111292,141244,162158,183302,24191,12741,29953,20914,21036,4346,4042,5854,9417,12881,18161,-308,1437,3530,3441,5262,1627,9119,14677,28676,48372,66040,7492,4178,14005,19697,17581
42100,"Santa Cruz-Watsonville, CA","Santa Cruz, CA",-122.0308,36.9741,53,0,0,9,8,9,9,0,0,0,0,2,,51627.51969,69037.51123,75373.84,69414.66,124099.0,,273101.5977,537536.0025,520472.0,692244.0,1145600.0,,0.20909404744444443,0.28892097968421054,0.33313130952631581,0.36833648405263159,0.38763157894736844,0,188143,229662,255601,262382,270835,,41517,25941,6781,8453,0,151713,171144,167463,156397,145546,,19428,-3681,-11066,-10851,0,1395,2330,3190,3800,4878,,932,860,610,1078,0,4985,7687,11247,14448,17785,,2702,3560,3201,3337,0,27652,46781,68486,84092,94288,1220,19137,21705,15606,10196
34900,"Napa, CA","Napa, CA",-122.2869,38.2975,40,0,8,9,9,9,6,0,0,0,0,2,72126.621,63105.18289,84459.889275,83314.21945,78361.290000000008,95060.5,146162.02645,243480.34175,365716.5403,360082.0007,533988.0,729282.5,0.09677096736363637,0.15222098554545455,0.19338651,0.23323792127272727,0.2824279655,0.32679090909090908,79136,99197,110766,124279,136484,138355,20059,11566,13514,12205,1871,75714,86375,89452,85934,76967,68952,10657,3080,-3519,-8967,-8015,517,864,1168,1827,3070,3325,317,300,661,1243,255,1011,2094,3390,4862,10794,13169,1084,1295,1476,5932,2375,1238,8632,15942,29416,44010,48961,7394,7305,13472,14594,4951
26580,"Huntington-Ashland, WV-KY-OH","Huntington, WV",-82.4452,38.4192,95,28,4,9,13,12,15,0,1,3,0,1,48664.57926,43228.30957,39741.981400000004,38538.32,36660.96,37014.5,111094.5926,122207.47774999999,92842.99832,103372.0,97524.0,90886.0,0.10222462228571429,0.13652155725,0.17783550867857142,0.19612692092857142,0.21819389985714285,0.24373571428571428,286934,349532,355372,367136,370908,359841,24415,-13248,11762,3772,-11067,279283,339319,345638,352284,351295,329866,22193,-12683,6645,-989,-21429,7067,7264,6803,8234,10678,12362,75,-519,1342,2440,1684,298,687,1041,1999,2828,3917,262,306,920,812,1089,179,1636,1420,2393,3512,4595,1262,-276,942,1119,1083
12100,"Atlantic City-Hammonton, NJ","Atlantic City, NJ",-74.4229,39.3643,70,18,10,9,12,12,10,0,0,2,1,0,41266.817895,37989.355615,57696.589955,61407.44,45666.81,45315.5,92260.72936,154877.60585,190566.4998,159616.0,287784.0,187833.0,0.039277128888888888,0.080960781833333328,0.10354293827777777,0.113741884,0.1601820843888889,0.16926111111111111,175017,194106,224327,252553,274549,274535,19086,30223,28225,21996,-14,140660,151260,165234,161486,160871,148861,10598,13972,-3748,-615,-12010,30402,33634,37735,44495,43524,43028,3222,4098,6762,-971,-496,409,957,4563,13818,22034,23646,500,3564,9248,8216,1612,2736,7592,16116,30729,46241,53712,4856,8528,14612,15512,7471
13780,"Binghamton, NY","Binghamton, NY",-75.918,42.0987,65,16,7,9,8,11,11,0,0,0,0,0,50054.09074,42938.05802,46462.36025,43829.04,37831.5,48364.0,116828.8038,111800.0004,146188.0006,103372.0,103194.0,95723.0,0.083045343333333341,0.12513754593333334,0.183658399,0.19213524726666667,0.217173904,0.21208,268326,263457,264495,252318,251725,247137,-4870,1039,-12177,-593,-4588,264465,255694,252641,231519,222179,200368,-8771,-3054,-21122,-9340,-21811,2568,3344,4428,7867,11810,16100,758,1046,3437,3943,4290,692,1644,3943,6558,8506,11324,945,2272,2606,1948,2818,309,1815,2845,4496,7472,11402,1506,978,1650,2976,3930
27100,"Jackson, MI","Jackson, MI",-84.4014,42.2459,38,12,8,9,9,10,10,0,0,0,0,0,57285.73849,48467.872275,43981.753975,54075.08,37983.33,41855.0,84188.601215,70008.82553,66212.15216,100751.21867,85869.0,75600.0,0.083649604916666662,0.10013647683333333,0.0947123585,0.11310478975,0.11090670925,0.1481,143272,151495,149759,158422,160248,160365,8222,-1739,8664,1826,117,133646,137603,134282,138529,137588,131098,3957,-3321,4247,-941,-6490,8491,10730,11820,13583,14806,15737,2048,1091,1764,1223,931,357,521,642,1127,1490,2203,147,121,487,363,713,547,1807,2302,3493,4837,6184,1260,493,1191,1344,1347
34740,"Muskegon, MI","Muskegon, MI",-86.2484,43.2342,43,16,4,9,8,9,8,0,0,1,1,0,65983.466625,49463.076785,51642.011925,53779.46274,37973.25,46328.5,91650.06876,73313.475975000008,78325.49372,120744.0,89775.0,110600.5,0.0762646948125,0.107440232875,0.11887655700000001,0.145582399,0.173823706,0.18363125,157425,157489,158982,170200,172188,175825,62,1493,11217,1988,3637,139268,133975,132045,135378,133132,130141,-5289,-1933,3333,-2246,-2991,16721,19025,21444,25200,26792,26722,2255,2418,3756,1592,-70,583,395,536,1030,1401,1949,-189,132,488,371,529,632,2833,3623,6002,8261,10283,2201,790,2379,2259,2022
43620,"Sioux Falls, SD","Sioux Falls, SD",-96.7003,43.5499,57,34,9,9,9,13,15,0,0,0,0,1,72879.84066,62594.24172,66730.594305,72127.34148,59611.86,73866.5,132659.6833,167833.7793,143989.1655,171999.99865,178479.0,230568.5,0.097867504730769231,0.17001559635714286,0.2201694400882353,0.2684089105,0.29158763326470588,0.30104117647058826,95210,123377,153501,187093,228261,276730,14225,15859,33590,41168,48469,94229,120868,149497,174558,202388,227569,12804,14464,25057,27830,25181,178,268,766,3083,8458,15961,41,458,2261,5375,7503,676,376,739,2138,3813,7407,-331,348,1387,1675,3594,93,494,696,3438,7746,14137,374,173,2725,4308,6391
49420,"Yakima, WA","Yakima, WA",-120.5059,46.6021,45,17,0,9,7,8,8,0,0,0,0,1,,45590.32107,47109.31077,47090.15859,42673.68,61332.0,,119828.9599,95566.99993,146888.0,155232.0,224866.0,,0.11755585976470588,0.14630624270588236,0.15901110452941175,0.15588202223529413,0.16247058823529412,0,172504,188819,222579,243231,256717,,16313,33759,20652,13486,0,137377,132144,125731,116024,103576,,-5234,-6416,-9707,-12448,0,1559,1786,2454,2635,3034,,227,669,181,399,0,1232,1668,2779,3453,4521,,434,1111,674,1068,0,25454,45113,79904,109470,130041,1522,19658,34790,29566,20571
